Date,EventType
2005-01-07,NFP
2005-01-12,CPI
2005-02-02,FOMC
2005-02-04,NFP
2005-02-09,CPI
2005-03-04,NFP
2005-03-09,CPI
2005-03-22,FOMC
2005-04-01,NFP
2005-04-13,CPI
2005-05-03,FOMC
2005-05-06,NFP
2005-05-11,CPI
2005-06-03,NFP
2005-06-08,CPI
2005-06-30,FOMC
2005-07-01,NFP
2005-07-13,CPI
2005-08-05,NFP
2005-08-09,FOMC
2005-08-10,CPI
2005-09-02,NFP
2005-09-14,CPI
2005-09-20,FOMC
2005-10-07,NFP
2005-10-12,CPI
2005-11-01,FOMC
2005-11-04,NFP
2005-11-09,CPI
2005-12-02,NFP
2005-12-13,FOMC
2005-12-14,CPI
2006-01-06,NFP
2006-01-11,CPI
2006-01-31,FOMC
2006-02-03,NFP
2006-02-08,CPI
2006-03-03,NFP
2006-03-08,CPI
2006-03-28,FOMC
2006-04-07,NFP
2006-04-12,CPI
2006-05-05,NFP
2006-05-10,FOMC
2006-05-10,CPI
2006-06-02,NFP
2006-06-14,CPI
2006-06-29,FOMC
2006-07-07,NFP
2006-07-12,CPI
2006-08-04,NFP
2006-08-08,FOMC
2006-08-09,CPI
2006-09-01,NFP
2006-09-13,CPI
2006-09-20,FOMC
2006-10-06,NFP
2006-10-11,CPI
2006-10-25,FOMC
2006-11-03,NFP
2006-11-08,CPI
2006-12-01,NFP
2006-12-13,FOMC
2006-12-13,CPI
2007-01-05,NFP
2007-01-10,CPI
2007-01-31,FOMC
2007-02-02,NFP
2007-02-14,CPI
2007-03-02,NFP
2007-03-14,CPI
2007-03-21,FOMC
2007-04-06,NFP
2007-04-11,CPI
2007-05-04,NFP
2007-05-09,FOMC
2007-05-09,CPI
2007-06-01,NFP
2007-06-13,CPI
2007-06-28,FOMC
2007-07-06,NFP
2007-07-11,CPI
2007-08-03,NFP
2007-08-07,FOMC
2007-08-08,CPI
2007-09-07,NFP
2007-09-12,CPI
2007-09-18,FOMC
2007-10-05,NFP
2007-10-10,CPI
2007-10-31,FOMC
2007-11-02,NFP
2007-11-14,CPI
2007-12-07,NFP
2007-12-11,FOMC
2007-12-12,CPI
2008-01-04,NFP
2008-01-09,CPI
2008-01-22,FOMC
2008-01-30,FOMC
2008-02-01,NFP
2008-02-13,CPI
2008-03-07,NFP
2008-03-12,CPI
2008-03-18,FOMC
2008-04-04,NFP
2008-04-09,CPI
2008-04-30,FOMC
2008-05-02,NFP
2008-05-14,CPI
2008-06-06,NFP
2008-06-11,CPI
2008-06-25,FOMC
2008-07-04,NFP
2008-07-09,CPI
2008-08-01,NFP
2008-08-05,FOMC
2008-08-13,CPI
2008-09-05,NFP
2008-09-10,CPI
2008-09-16,FOMC
2008-10-03,NFP
2008-10-08,FOMC
2008-10-08,CPI
2008-10-29,FOMC
2008-11-07,NFP
2008-11-12,CPI
2008-12-05,NFP
2008-12-10,CPI
2008-12-16,FOMC
2009-01-02,NFP
2009-01-14,CPI
2009-01-28,FOMC
2009-02-06,NFP
2009-02-11,CPI
2009-03-06,NFP
2009-03-11,CPI
2009-03-18,FOMC
2009-04-03,NFP
2009-04-08,CPI
2009-04-29,FOMC
2009-05-01,NFP
2009-05-13,CPI
2009-06-05,NFP
2009-06-10,CPI
2009-06-24,FOMC
2009-07-03,NFP
2009-07-08,CPI
2009-08-07,NFP
2009-08-12,FOMC
2009-08-12,CPI
2009-09-04,NFP
2009-09-09,CPI
2009-09-23,FOMC
2009-10-02,NFP
2009-10-14,CPI
2009-11-04,FOMC
2009-11-06,NFP
2009-11-11,CPI
2009-12-04,NFP
2009-12-09,CPI
2009-12-16,FOMC
2010-01-01,NFP
2010-01-13,CPI
2010-01-27,FOMC
2010-02-05,NFP
2010-02-10,CPI
2010-03-05,NFP
2010-03-10,CPI
2010-03-16,FOMC
2010-04-02,NFP
2010-04-14,CPI
2010-04-28,FOMC
2010-05-07,NFP
2010-05-12,CPI
2010-06-04,NFP
2010-06-09,CPI
2010-06-23,FOMC
2010-07-02,NFP
2010-07-14,CPI
2010-08-06,NFP
2010-08-10,FOMC
2010-08-11,CPI
2010-09-03,NFP
2010-09-08,CPI
2010-09-21,FOMC
2010-10-01,NFP
2010-10-13,CPI
2010-11-03,FOMC
2010-11-05,NFP
2010-11-10,CPI
2010-12-03,NFP
2010-12-08,CPI
2010-12-14,FOMC
2011-01-07,NFP
2011-01-12,CPI
2011-01-26,FOMC
2011-02-04,NFP
2011-02-09,CPI
2011-03-04,NFP
2011-03-09,CPI
2011-03-15,FOMC
2011-04-01,NFP
2011-04-13,CPI
2011-04-27,FOMC
2011-05-06,NFP
2011-05-11,CPI
2011-06-03,NFP
2011-06-08,CPI
2011-06-22,FOMC
2011-07-01,NFP
2011-07-13,CPI
2011-08-05,NFP
2011-08-09,FOMC
2011-08-10,CPI
2011-09-02,NFP
2011-09-14,CPI
2011-09-21,FOMC
2011-10-07,NFP
2011-10-12,CPI
2011-11-02,FOMC
2011-11-04,NFP
2011-11-09,CPI
2011-12-02,NFP
2011-12-13,FOMC
2011-12-14,CPI
2012-01-06,NFP
2012-01-11,CPI
2012-01-25,FOMC
2012-02-03,NFP
2012-02-08,CPI
2012-03-02,NFP
2012-03-13,FOMC
2012-03-14,CPI
2012-04-06,NFP
2012-04-11,CPI
2012-04-25,FOMC
2012-05-04,NFP
2012-05-09,CPI
2012-06-01,NFP
2012-06-13,CPI
2012-06-20,FOMC
2012-07-06,NFP
2012-07-11,CPI
2012-08-01,FOMC
2012-08-03,NFP
2012-08-08,CPI
2012-09-07,NFP
2012-09-12,CPI
2012-09-13,FOMC
2012-10-05,NFP
2012-10-10,CPI
2012-10-24,FOMC
2012-11-02,NFP
2012-11-14,CPI
2012-12-07,NFP
2012-12-12,FOMC
2012-12-12,CPI
2013-01-04,NFP
2013-01-09,CPI
2013-01-30,FOMC
2013-02-01,NFP
2013-02-13,CPI
2013-03-01,NFP
2013-03-13,CPI
2013-03-20,FOMC
2013-04-05,NFP
2013-04-10,CPI
2013-05-01,FOMC
2013-05-03,NFP
2013-05-08,CPI
2013-06-07,NFP
2013-06-12,CPI
2013-06-19,FOMC
2013-07-05,NFP
2013-07-10,CPI
2013-07-31,FOMC
2013-08-02,NFP
