Date,Open,High,Low,Close,Volume,VIX_Close,VIX3M_Close,HYG_Close,TNX_Close,IRX_Close,DXY_Close,Gold_Close,SKEW_Close
1990-01-02,353.4,359.69,351.98,359.69,162070000,17.24,,,7.94,7.58,94.29,,126.09
1990-01-03,359.69,360.59,357.89,358.76,192330000,18.19,,,7.99,7.63,94.42,,123.34
1990-01-04,358.76,358.76,352.89,355.67,177000000,19.22,,,7.98,7.59,92.52,,122.62
1990-01-05,355.67,355.67,351.35,352.2,158530000,20.11,,,7.99,7.54,92.85,,121.27
1990-01-08,352.2,354.24,350.54,353.79,140110000,20.26,,,8.02,7.54,92.05,,124.12
1990-01-09,353.83,354.17,349.61,349.62,155210000,22.2,,,8.02,7.55,92.35,,119.82
1990-01-10,349.62,349.62,344.32,347.31,175990000,22.44,,,8.03,7.5,92.39,,120.82
1990-01-11,347.31,350.14,347.31,348.53,154390000,20.05,,,8.04,7.55,92.4,,107.48
1990-01-12,348.53,348.53,339.49,339.93,183880000,24.64,,,8.1,7.5,92.43,,116.78
1990-01-15,339.93,339.94,336.57,337.0,140590000,26.34,,,,,92.84,,116.16
1990-01-16,337.0,340.75,333.37,340.75,186070000,24.18,,,8.2,7.63,92.94,,120.62
1990-01-17,340.77,342.01,336.26,337.4,170470000,24.16,,,8.19,7.71,92.72,,123.03
1990-01-18,337.4,338.38,333.98,338.19,178590000,24.34,,,8.32,7.78,93.74,,131.14
1990-01-19,338.19,340.48,338.19,339.15,185590000,22.5,,,8.26,7.74,93.69,,129.31
1990-01-22,339.14,339.96,330.28,330.38,148380000,26.7,,,8.27,7.73,94.32,,118.95
1990-01-23,330.38,332.76,328.67,331.61,179300000,24.72,,,8.26,7.67,93.19,,117.94
1990-01-24,331.61,331.71,324.17,330.26,207830000,25.39,,,8.38,7.67,93.03,,128.75
1990-01-25,330.26,332.33,325.33,326.08,172270000,25.63,,,8.42,7.69,92.65,,124.33
1990-01-26,326.09,328.58,321.44,325.8,198190000,26.28,,,8.49,7.68,92.52,,122.76
1990-01-29,325.8,327.31,321.79,325.2,150770000,26.44,,,8.5,7.74,92.1,,124.6
1990-01-30,325.2,325.73,319.83,322.98,186030000,27.25,,,8.51,7.74,92.91,,120.91
1990-01-31,322.98,329.08,322.98,329.08,189660000,25.36,,,8.43,7.74,92.41,,128.22
1990-02-01,329.08,329.86,327.76,328.79,154580000,24.87,,,8.42,7.76,92.16,,129.53
1990-02-02,328.79,332.1,328.09,330.92,164400000,24.32,,,8.5,7.81,92.44,,132.53
1990-02-05,330.92,332.16,330.45,331.85,130950000,24.54,,,8.53,7.82,91.54,,121.22
1990-02-06,331.85,331.86,328.2,329.66,134070000,24.69,,,8.57,7.82,91.55,,120.3
1990-02-07,329.66,333.76,326.55,333.75,186710000,24.29,,,8.52,7.81,91.75,,123.35
1990-02-08,333.75,336.09,332.0,332.96,176240000,23.77,,,8.49,7.81,91.98,,124.87
1990-02-09,333.02,334.6,332.41,333.62,146910000,23.69,,,8.31,7.76,91.98,,126.06
1990-02-12,333.62,333.62,329.97,330.08,118390000,24.38,,,8.4,7.73,92.11,,126.99
1990-02-13,330.08,331.61,327.92,331.02,144490000,23.76,,,8.35,7.58,92.3,,133.06
1990-02-14,331.02,333.2,330.64,332.01,138530000,22.05,,,8.36,7.61,92.13,,131.55
1990-02-15,332.01,335.21,331.61,334.89,174620000,19.71,,,8.43,7.71,92.79,,139.07
1990-02-16,334.89,335.64,332.42,332.72,166840000,20.78,,,8.42,7.69,92.18,,136.61
1990-02-20,332.72,332.72,326.26,327.99,147300000,22.78,,,8.62,7.8,91.82,,126.47
1990-02-21,327.91,328.17,324.47,327.67,159240000,23.89,,,8.62,7.75,91.8,,129.17
1990-02-22,327.67,330.98,325.7,325.7,184320000,22.54,,,8.54,7.73,91.98,,124.8
1990-02-23,325.7,326.15,322.1,324.15,148490000,23.69,,,8.53,7.68,92.16,,125.82
1990-02-26,324.16,328.67,323.98,328.67,148900000,23.56,,,8.46,7.71,92.97,,130.69
1990-02-27,328.68,331.94,328.47,330.26,152590000,22.69,,,8.41,7.73,92.71,,131.45
1990-02-28,330.26,333.48,330.16,331.89,184400000,21.99,,,8.51,7.77,93.29,,123.1
1990-03-01,331.89,334.4,331.08,332.74,157930000,21.9,,,8.59,7.81,94.0,,123.96
1990-03-02,332.74,335.54,332.72,335.54,164330000,21.34,,,8.54,7.76,94.01,,126.44
1990-03-05,335.54,336.38,333.49,333.74,140110000,22.03,,,8.65,7.82,93.27,,124.24
1990-03-06,333.74,337.93,333.57,337.93,143640000,20.55,,,8.59,7.9,93.56,,124.86
1990-03-07,337.93,338.84,336.33,336.95,163580000,19.1,,,8.58,7.91,93.64,,121.08
1990-03-08,336.95,340.66,336.95,340.27,170900000,19.74,,,8.57,7.91,93.53,,124.46
1990-03-09,340.12,340.27,336.84,337.93,150410000,20.3,,,8.65,7.99,93.87,,125.6
1990-03-12,337.93,339.08,336.14,338.67,114790000,20.07,,,8.63,7.99,94.39,,129.69
1990-03-13,338.67,338.67,335.36,336.0,145440000,21.05,,,8.73,7.98,94.3,,128.07
1990-03-14,336.0,337.63,334.93,336.87,145060000,19.65,,,8.65,7.95,94.25,,131.82
1990-03-15,336.87,338.91,336.87,338.07,144410000,18.81,,,8.66,7.94,93.78,,133.02
1990-03-16,338.07,341.91,338.07,341.91,222520000,17.62,,,8.59,7.92,93.8,,136.73
1990-03-19,341.91,343.76,339.12,343.53,142300000,18.29,,,8.59,7.94,93.49,,138.69
1990-03-20,343.53,344.49,340.87,341.57,177320000,19.06,,,8.54,7.97,94.29,,134.2
1990-03-21,341.57,342.34,339.56,339.74,130990000,20.1,,,8.55,7.95,94.41,,132.58
1990-03-22,339.74,339.77,333.62,335.69,175930000,22.74,,,8.53,7.9,94.17,,129.8
1990-03-23,335.69,337.58,335.69,337.22,132070000,20.46,,,8.52,7.88,94.37,,130.76
1990-03-26,337.22,339.74,337.22,337.63,116110000,19.59,,,8.51,7.86,94.28,,129.9
1990-03-27,337.63,341.5,337.03,341.5,131610000,21.01,,,8.52,7.9,94.41,,135.33
1990-03-28,341.5,342.58,340.6,342.0,142300000,19.77,,,8.51,7.85,94.47,,133.51
1990-03-29,342.0,342.07,339.77,340.79,132190000,18.46,,,8.6,7.83,93.73,,131.2
1990-03-30,340.79,341.41,338.21,339.94,139340000,19.73,,,8.65,7.8,93.69,,111.33
1990-04-02,339.94,339.94,336.33,338.7,124360000,22.84,,,8.65,7.78,94.06,,126.46
1990-04-03,338.7,343.76,338.7,343.64,154310000,20.44,,,8.63,7.82,94.01,,117.63
1990-04-04,343.64,344.12,340.4,341.09,159530000,22.03,,,8.55,7.75,93.98,,114.13
1990-04-05,341.09,342.85,340.63,340.73,144170000,21.21,,,8.57,7.76,93.86,,114.42
1990-04-06,340.73,341.73,338.94,340.08,137490000,21.76,,,8.56,7.76,93.72,,114.91
1990-04-09,340.08,341.83,339.88,341.37,114970000,22.3,,,8.59,7.82,93.68,,117.6
1990-04-10,341.37,342.41,340.62,342.07,136020000,21.69,,,8.6,7.78,93.0,,119.09
1990-04-11,342.07,343.0,341.26,341.92,141080000,17.73,,,8.63,7.76,92.93,,108.87
1990-04-12,341.92,344.79,341.91,344.34,142470000,19.8,,,8.64,7.76,92.87,,121.52
1990-04-16,344.34,347.3,344.1,344.74,142810000,20.75,,,8.68,7.74,93.34,,126.05
1990-04-17,344.74,345.19,342.06,344.68,127990000,20.38,,,8.77,7.76,93.28,,131.24
1990-04-18,344.68,345.33,340.11,340.72,147130000,22.67,,,8.86,7.81,92.86,,122.74
1990-04-19,340.72,340.72,337.59,338.09,152930000,22.46,,,8.87,7.79,92.99,,120.77
1990-04-20,338.09,338.52,333.41,335.12,174260000,23.33,,,8.95,7.69,93.29,,120.88
1990-04-23,335.12,335.12,330.09,331.05,136150000,24.16,,,8.98,7.73,93.77,,120.03
1990-04-24,331.05,332.97,329.71,330.36,137360000,21.7,,,9.0,7.76,93.78,,124.56
1990-04-25,330.36,332.74,330.36,332.03,133480000,20.86,,,9.01,7.79,93.09,,127.03
1990-04-26,332.03,333.76,330.67,332.92,141330000,20.25,,,9.07,7.82,93.2,,124.51
1990-04-27,332.92,333.57,328.71,329.11,130630000,22.19,,,9.06,7.79,93.02,,118.84
1990-04-30,329.11,331.31,327.76,330.8,122750000,19.52,,,9.04,7.79,93.07,,110.49
1990-05-01,330.8,332.83,330.8,332.25,149020000,18.43,,,9.08,7.92,93.09,,111.99
1990-05-02,332.25,334.48,332.15,334.48,141610000,19.32,,,9.09,7.9,93.24,,128.49
1990-05-03,334.48,337.02,334.47,335.57,145560000,17.81,,,9.04,7.88,93.13,,114.27
1990-05-04,335.58,338.46,335.17,338.39,140550000,17.28,,,8.84,7.76,92.37,,116.35
1990-05-07,338.39,341.07,338.11,340.53,132760000,17.65,,,8.87,7.82,92.01,,117.22
1990-05-08,340.53,342.03,340.17,342.01,144230000,18.49,,,8.84,7.79,91.99,,117.83
1990-05-09,342.01,343.08,340.9,342.86,152220000,18.64,,,8.88,7.75,91.15,,117.27
1990-05-10,342.87,344.98,342.77,343.82,158460000,18.59,,,8.82,7.71,91.21,,119.5
1990-05-11,343.82,352.31,343.82,352.0,234040000,19.81,,,8.64,7.62,91.12,,119.51
1990-05-14,352.0,358.41,351.95,354.75,225410000,20.14,,,8.61,7.63,91.1,,123.12
1990-05-15,354.75,355.09,352.84,354.28,165730000,19.49,,,8.65,7.65,91.09,,125.1
1990-05-16,354.27,354.68,351.95,354.0,159810000,17.71,,,8.68,7.67,91.16,,125.7
1990-05-17,354.0,356.92,354.0,354.47,164770000,17.27,,,8.69,7.67,91.34,,121.95
1990-05-18,354.47,354.64,352.52,354.64,162520000,17.2,,,8.75,7.75,91.31,,124.68
1990-05-21,354.64,359.07,353.78,358.0,166280000,16.72,,,8.74,7.75,91.91,,127.35
1990-05-22,358.0,360.5,356.09,358.43,203350000,17.84,,,8.65,7.73,92.0,,124.88
1990-05-23,358.43,359.29,356.99,359.29,172330000,17.18,,,8.61,7.65,92.14,,118.8
1990-05-24,359.29,359.56,357.87,358.41,155140000,17.7,,,8.63,7.69,92.37,,117.3
1990-05-25,358.41,358.41,354.32,354.58,120250000,17.32,,,8.69,7.75,92.26,,111.93
1990-05-29,354.58,360.65,354.55,360.65,137410000,18.75,,,8.66,7.75,92.03,,122.18
1990-05-30,360.65,362.26,360.0,360.86,199540000,17.44,,,8.62,7.76,92.32,,119.88
1990-05-31,360.86,361.84,360.23,361.23,165690000,17.37,,,8.6,7.75,92.98,,120.21
